loan_id,borrower_id,application_date,loan_purpose,loan_amount,term_months,interest_rate,monthly_payment,dti_ratio,loan_status,days_delinquent,defaulted,application_year,application_month,risk_flag,dti_extreme,age,state,education_level,employment_status,years_employed,annual_income,credit_score,home_ownership,dependents,existing_monthly_debt,credit_score_bucket,dti_range,tenure_group,loan_amount_range,income_bracket
LN-00013,BRW-0010,2024-06-06,Wedding,15700.0,12,6.57,1355.36,126.0,Current,0,0,2024,6,Non-Default,True,30,WA,Associate,Part-Time,6,22845,824,Rent,1,1044,750+,75%+,5-9 years,$10-20K,<$30K
LN-00014,BRW-0011,2024-01-22,Moving,38300.0,48,13.9,1044.68,63.6,Current,0,0,2024,1,Non-Default,False,30,KY,Bachelor,Full-Time,2,43606,586,Mortgage,2,1265,520-599,50-75%,2-4 years,$30-50K,$30-50K
LN-00015,BRW-0012,2024-07-13,Vacation,28800.0,60,9.94,611.06,48.3,Current,0,0,2024,7,Non-Default,False,46,FL,Bachelor,Retired,0,44614,813,Rent,2,1184,750+,35-50%,Retired,$20-30K,$30-50K
LN-00016,BRW-0012,2025-06-27,Vacation,23700.0,60,7.25,472.09,44.5,Default,105,1,2025,6,Default,False,46,FL,Bachelor,Retired,0,44614,813,Rent,2,1184,750+,35-50%,Retired,$20-30K,$30-50K
LN-00017,BRW-0013,2024-07-08,Moving,2000.0,60,11.65,44.14,18.8,Current,0,0,2024,7,Non-Default,False,39,AL,Master,Full-Time,14,79782,615,Own,3,1207,600-649,0-20%,10+ years,$0-10K,$75-100K
LN-00018,BRW-0013,2024-07-13,Wedding,34300.0,60,13.85,795.44,30.1,Current,0,0,2024,7,Non-Default,False,39,AL,Master,Full-Time,14,79782,615,Own,3,1207,600-649,20-35%,10+ years,$30-50K,$75-100K
LN-00019,BRW-0014,2024-03-09,Education,17500.0,12,8.45,1525.94,41.4,Default,63,1,2024,3,Default,False,54,IN,Master,Full-Time,19,63730,850,Rent,2,671,750+,35-50%,10+ years,$10-20K,$50-75K
LN-00020,BRW-0015,2025-02-01,Debt Consolidation,20600.0,12,11.24,1822.97,52.5,Paid Off,0,0,2025,2,Non-Default,False,32,CA,Bachelor,Self-Employed,9,74436,535,Mortgage,0,1435,520-599,50-75%,5-9 years,$20-30K,$50-75K
LN-00021,BRW-0016,2024-08-01,Education,23100.0,12,15.15,2086.6,88.1,Late,15,0,2024,8,Late,False,41,OR,Associate,Full-Time,2,55611,570,Rent,0,1994,520-599,75%+,2-4 years,$20-30K,$50-75K
LN-00022,BRW-0017,2024-02-29,Debt Consolidation,23300.0,48,13.03,625.43,69.4,Current,0,0,2024,2,Non-Default,False,30,AZ,High School,Full-Time,8,41753,665,Rent,4,1790,650-699,50-75%,5-9 years,$20-30K,$30-50K
LN-00023,BRW-0018,2024-08-24,Auto Loan,7200.0,60,8.39,147.34,18.9,Current,0,0,2024,8,Non-Default,False,68,MA,Bachelor,Self-Employed,28,66055,726,Rent,0,893,700-749,0-20%,10+ years,$0-10K,$50-75K
LN-00024,BRW-0019,2025-01-01,Medical Expenses,13700.0,12,15.03,1236.73,112.8,Current,0,0,2025,1,Non-Default,True,43,TX,High School,Part-Time,2,23712,528,Rent,0,993,520-599,75%+,2-4 years,$10-20K,<$30K
LN-00025,BRW-0020,2025-03-29,Medical Expenses,23300.0,24,12.02,1097.03,62.4,Late,15,0,2025,3,Late,False,43,UT,High School,Full-Time,17,45948,639,Own,3,1294,600-649,50-75%,10+ years,$20-30K,$30-50K
LN-00026,BRW-0021,2024-08-07,Education,32400.0,36,13.31,1096.53,60.0,Default,170,1,2024,8,Default,False,37,AZ,Master,Contract,13,70937,584,Mortgage,1,2450,520-599,50-75%,10+ years,$30-50K,$50-75K
LN-00027,BRW-0021,2024-02-05,Auto Loan,23700.0,48,10.27,604.17,51.7,Current,0,0,2024,2,Non-Default,False,37,AZ,Master,Contract,13,70937,584,Mortgage,1,2450,520-599,50-75%,10+ years,$20-30K,$50-75K
LN-00028,BRW-0022,2024-01-23,Auto Loan,7400.0,24,12.65,350.59,29.2,Late,15,0,2024,1,Late,False,65,OH,Bachelor,Part-Time,6,24456,698,Own,1,244,650-699,20-35%,5-9 years,$0-10K,<$30K
LN-00029,BRW-0022,2024-02-08,Moving,13600.0,60,9.14,283.24,25.9,Current,0,0,2024,2,Non-Default,False,65,OH,Bachelor,Part-Time,6,24456,698,Own,1,244,650-699,20-35%,5-9 years,$10-20K,<$30K
LN-00030,BRW-0023,2024-08-10,Business Loan,34200.0,12,10.17,3009.43,87.7,Paid Off,0,0,2024,8,Non-Default,False,33,MO,Associate,Full-Time,12,72054,761,Rent,0,2258,750+,75%+,10+ years,$30-50K,$50-75K
LN-00031,BRW-0023,2024-04-07,Medical Expenses,45200.0,60,11.41,992.02,54.1,Paid Off,0,0,2024,4,Non-Default,False,33,MO,Associate,Full-Time,12,72054,761,Rent,0,2258,750+,50-75%,10+ years,$30-50K,$50-75K
LN-00032,BRW-0024,2025-03-20,Home Improvement,46200.0,36,10.72,1506.41,47.5,Late,15,0,2025,3,Late,False,56,TN,Master,Retired,10,80449,661,Mortgage,0,1679,650-699,35-50%,Retired,$30-50K,$75-100K
LN-00033,BRW-0025,2025-06-20,Wedding,32400.0,48,7.65,785.67,58.9,Default,168,1,2025,6,Default,False,25,AL,High School,Full-Time,2,36142,757,Mortgage,4,987,750+,50-75%,2-4 years,$30-50K,$30-50K
LN-00034,BRW-0026,2025-02-06,Education,12400.0,12,14.05,1113.65,58.7,Current,0,0,2025,2,Non-Default,False,67,NJ,Bachelor,Full-Time,34,54489,559,Own,0,1553,520-599,50-75%,10+ years,$10-20K,$50-75K
LN-00035,BRW-0027,2025-05-02,Major Purchase,16400.0,24,8.51,745.55,53.8,Current,0,0,2025,5,Non-Default,False,54,NY,Master,Full-Time,5,59480,790,Rent,2,1921,750+,50-75%,5-9 years,$10-20K,$50-75K
LN-00036,BRW-0028,2024-07-21,Moving,27100.0,24,8.64,1233.59,65.3,Current,0,0,2024,7,Non-Default,False,37,AZ,Bachelor,Retired,1,46167,826,Mortgage,2,1279,750+,50-75%,Retired,$20-30K,$30-50K
LN-00037,BRW-0029,2024-04-01,Moving,5400.0,48,10.5,138.26,29.3,Default,135,1,2024,4,Default,False,42,MN,Master,Full-Time,8,116049,667,Mortgage,2,2694,650-699,20-35%,5-9 years,$0-10K,$100K+
LN-00038,BRW-0030,2024-06-22,Education,5500.0,12,14.25,494.48,77.2,Paid Off,0,0,2024,6,Non-Default,False,26,IN,High School,Part-Time,0,23219,576,Mortgage,0,999,520-599,75%+,<2 years,$0-10K,<$30K
LN-00039,BRW-0031,2025-01-17,Medical Expenses,46400.0,24,7.45,2086.93,42.1,Current,0,0,2025,1,Non-Default,False,26,KY,Master,Full-Time,5,68134,813,Mortgage,2,306,750+,35-50%,5-9 years,$30-50K,$50-75K
LN-00040,BRW-0032,2024-04-23,Business Loan,46500.0,36,10.02,1500.86,37.5,Current,0,0,2024,4,Non-Default,False,57,FL,Associate,Self-Employed,16,72778,603,Own,2,774,600-649,35-50%,10+ years,$30-50K,$50-75K
LN-00041,BRW-0033,2024-05-24,Business Loan,16200.0,36,8.58,511.99,58.8,Current,0,0,2024,5,Non-Default,False,40,NC,Bachelor,Self-Employed,8,53589,850,Mortgage,3,2112,750+,50-75%,5-9 years,$10-20K,$50-75K
LN-00042,BRW-0034,2024-10-04,Moving,4300.0,36,9.34,137.42,30.9,Default,32,1,2024,10,Default,False,27,NC,Bachelor,Contract,2,43412,700,Mortgage,0,980,700-749,20-35%,2-4 years,$0-10K,$30-50K
LN-00043,BRW-0034,2024-01-20,Home Improvement,10500.0,36,12.65,352.02,36.8,Late,15,0,2024,1,Late,False,27,NC,Bachelor,Contract,2,43412,700,Mortgage,0,980,700-749,35-50%,2-4 years,$10-20K,$30-50K
LN-00044,BRW-0035,2025-06-28,Moving,6800.0,36,12.32,226.9,18.4,Default,80,1,2025,6,Default,False,67,VA,Bachelor,Full-Time,34,45400,606,Own,2,469,600-649,0-20%,10+ years,$0-10K,$30-50K
LN-00045,BRW-0035,2025-06-26,Moving,28900.0,12,10.1,2542.11,79.6,Default,155,1,2025,6,Default,False,67,VA,Bachelor,Full-Time,34,45400,606,Own,2,469,600-649,75%+,10+ years,$20-30K,$30-50K
LN-00046,BRW-0036,2024-08-29,Medical Expenses,12800.0,36,13.96,437.23,32.2,Late,30,0,2024,8,Late,False,30,GA,High School,Full-Time,5,55244,550,Own,2,1044,520-599,20-35%,5-9 years,$10-20K,$50-75K
LN-00047,BRW-0037,2024-10-13,Auto Loan,44700.0,12,14.32,4020.22,93.8,Default,117,1,2024,10,Default,False,57,KY,Master,Full-Time,15,107852,624,Rent,3,4410,600-649,75%+,10+ years,$30-50K,$100K+
LN-00048,BRW-0038,2024-08-20,Medical Expenses,5900.0,60,12.11,131.57,29.4,Current,0,0,2024,8,Non-Default,False,23,KY,High School,Retired,1,29964,735,Mortgage,2,602,700-749,20-35%,Retired,$0-10K,<$30K
LN-00049,BRW-0038,2024-05-21,Auto Loan,15100.0,60,8.41,309.15,36.5,Current,0,0,2024,5,Non-Default,False,23,KY,High School,Retired,1,29964,735,Mortgage,2,602,700-749,35-50%,Retired,$10-20K,<$30K
LN-00050,BRW-0039,2024-06-10,Moving,22600.0,24,10.2,1044.96,26.2,Paid Off,0,0,2024,6,Non-Default,False,24,KY,Master,Full-Time,2,124663,785,Mortgage,3,1677,750+,20-35%,2-4 years,$20-30K,$100K+
LN-00051,BRW-0040,2025-02-27,Education,9000.0,12,12.63,802.29,65.4,Paid Off,0,0,2025,2,Non-Default,False,64,WA,High School,Full-Time,22,52825,672,Mortgage,2,2077,650-699,50-75%,10+ years,$0-10K,$50-75K
LN-00052,BRW-0041,2024-09-30,Auto Loan,11000.0,24,10.24,508.81,39.3,Current,0,0,2024,9,Non-Default,False,43,NC,Master,Full-Time,18,137860,641,Rent,0,4001,600-649,35-50%,10+ years,$10-20K,$100K+
LN-00053,BRW-0041,2025-04-25,Business Loan,19200.0,48,9.99,486.87,39.1,Paid Off,0,0,2025,4,Non-Default,False,43,NC,Master,Full-Time,18,137860,641,Rent,0,4001,600-649,35-50%,10+ years,$10-20K,$100K+
LN-00054,BRW-0042,2024-01-16,Medical Expenses,12900.0,48,10.39,329.6,10.9,Late,30,0,2024,1,Late,False,44,MD,Master,Full-Time,3,106612,806,Mortgage,0,641,750+,0-20%,2-4 years,$10-20K,$100K+
LN-00055,BRW-0043,2025-05-16,Business Loan,3900.0,48,13.92,106.42,41.3,Late,15,0,2025,5,Late,False,49,MN,High School,Retired,11,24811,625,Mortgage,3,747,600-649,35-50%,Retired,$0-10K,<$30K
LN-00056,BRW-0044,2025-06-21,Debt Consolidation,41600.0,36,10.34,1348.97,31.5,Current,0,0,2025,6,Non-Default,False,64,SC,Master,Self-Employed,26,80367,698,Mortgage,0,761,650-699,20-35%,10+ years,$30-50K,$75-100K
LN-00057,BRW-0045,2025-02-09,Vacation,4000.0,24,12.11,188.5,7.6,Current,0,0,2025,2,Non-Default,False,48,WA,Bachelor,Full-Time,19,88330,629,Mortgage,1,369,600-649,0-20%,10+ years,$0-10K,$75-100K
LN-00058,BRW-0046,2024-10-19,Debt Consolidation,14400.0,36,12.3,480.35,38.7,Late,0,0,2024,10,Late,False,40,MN,Associate,Self-Employed,14,57427,694,Mortgage,0,1371,650-699,35-50%,10+ years,$10-20K,$50-75K
LN-00059,BRW-0047,2025-05-27,Moving,24300.0,48,6.29,573.92,28.8,Paid Off,0,0,2025,5,Non-Default,False,32,LA,Bachelor,Full-Time,5,82953,850,Own,0,1418,750+,20-35%,5-9 years,$20-30K,$75-100K
LN-00060,BRW-0048,2024-07-25,Medical Expenses,15600.0,12,6.86,1348.81,64.9,Current,0,0,2024,7,Non-Default,False,34,MA,High School,Full-Time,13,57034,842,Rent,1,1734,750+,50-75%,10+ years,$10-20K,$50-75K
LN-00061,BRW-0049,2025-01-06,Medical Expenses,7900.0,12,13.28,706.64,53.0,Default,128,1,2025,1,Default,False,34,CT,Master,Full-Time,10,88890,615,Rent,2,3222,600-649,50-75%,10+ years,$0-10K,$75-100K
LN-00062,BRW-0050,2024-06-23,Moving,9700.0,60,8.32,198.17,13.0,Late,0,0,2024,6,Late,False,28,GA,Master,Full-Time,7,123592,815,Own,3,1139,750+,0-20%,5-9 years,$0-10K,$100K+
LN-00063,BRW-0051,2025-04-01,Medical Expenses,36200.0,48,7.37,873.08,53.3,Paid Off,0,0,2025,4,Non-Default,False,30,CT,Master,Self-Employed,5,139361,850,Rent,1,5313,750+,50-75%,5-9 years,$30-50K,$100K+
LN-00064,BRW-0052,2025-05-25,Debt Consolidation,14100.0,48,12.22,372.83,43.4,Paid Off,0,0,2025,5,Non-Default,False,54,LA,Bachelor,Contract,30,69049,616,Mortgage,0,2122,600-649,35-50%,10+ years,$10-20K,$50-75K
LN-00065,BRW-0052,2024-03-22,Business Loan,26200.0,48,11.78,687.12,48.8,Paid Off,0,0,2024,3,Non-Default,False,54,LA,Bachelor,Contract,30,69049,616,Mortgage,0,2122,600-649,35-50%,10+ years,$20-30K,$50-75K
LN-00066,BRW-0053,2024-12-23,Moving,12000.0,24,9.39,550.37,18.6,Default,38,1,2024,12,Default,False,55,NJ,Bachelor,Full-Time,15,68663,681,Mortgage,3,516,650-699,0-20%,10+ years,$10-20K,$50-75K
LN-00067,BRW-0054,2024-07-01,Wedding,37700.0,12,11.09,3333.57,72.6,Default,102,1,2024,7,Default,False,31,MO,Associate,Self-Employed,6,62036,567,Mortgage,1,419,520-599,50-75%,5-9 years,$30-50K,$50-75K
LN-00068,BRW-0055,2025-01-03,Wedding,29000.0,48,14.5,799.76,14.8,Current,0,0,2025,1,Non-Default,False,48,MD,Bachelor,Self-Employed,27,100958,555,Rent,1,445,520-599,0-20%,10+ years,$20-30K,$100K+
LN-00069,BRW-0056,2025-04-27,Major Purchase,38400.0,60,7.84,775.68,63.1,Default,100,1,2025,4,Default,False,44,MO,Associate,Full-Time,17,70593,749,Rent,2,2934,700-749,50-75%,10+ years,$30-50K,$50-75K
LN-00070,BRW-0057,2025-06-25,Major Purchase,20500.0,60,8.67,422.27,27.8,Late,0,0,2025,6,Late,False,53,OR,Associate,Full-Time,25,30740,697,Rent,1,291,650-699,20-35%,10+ years,$20-30K,$30-50K
LN-00071,BRW-0058,2024-12-28,Auto Loan,42700.0,36,13.49,1448.83,36.3,Current,0,0,2024,12,Non-Default,False,61,IL,Bachelor,Contract,5,78362,548,Mortgage,3,919,520-599,35-50%,5-9 years,$30-50K,$75-100K
LN-00072,BRW-0058,2024-10-24,Vacation,10600.0,60,12.03,235.95,17.7,Current,0,0,2024,10,Non-Default,False,61,IL,Bachelor,Contract,5,78362,548,Mortgage,3,919,520-599,0-20%,5-9 years,$10-20K,$75-100K
LN-00073,BRW-0059,2025-02-27,Home Improvement,12000.0,60,12.84,272.06,52.0,Default,119,1,2025,2,Default,False,38,OR,Bachelor,Full-Time,8,61452,729,Rent,1,2393,700-749,50-75%,5-9 years,$10-20K,$50-75K
LN-00074,BRW-0060,2024-03-10,Business Loan,5200.0,36,9.46,166.47,10.5,Current,0,0,2024,3,Non-Default,False,52,LA,High School,Full-Time,14,57596,709,Rent,4,336,700-749,0-20%,10+ years,$0-10K,$50-75K
LN-00075,BRW-0061,2024-06-28,Education,29500.0,60,14.67,696.7,67.2,Default,116,1,2024,6,Default,False,23,MN,Master,Full-Time,1,56348,608,Own,0,2459,600-649,50-75%,<2 years,$20-30K,$50-75K
LN-00076,BRW-0062,2025-04-16,Vacation,40300.0,24,8.41,1830.2,53.2,Current,0,0,2025,4,Non-Default,False,51,PA,Bachelor,Self-Employed,7,51304,840,Rent,4,444,750+,50-75%,5-9 years,$30-50K,$50-75K
LN-00077,BRW-0062,2024-11-19,Major Purchase,4700.0,60,7.5,94.18,12.6,Current,0,0,2024,11,Non-Default,False,51,PA,Bachelor,Self-Employed,7,51304,840,Rent,4,444,750+,0-20%,5-9 years,$0-10K,$50-75K
LN-00078,BRW-0063,2025-01-19,Education,5800.0,12,9.58,508.78,47.9,Current,0,0,2025,1,Non-Default,False,23,OH,Master,Part-Time,3,72879,727,Rent,0,2400,700-749,35-50%,2-4 years,$0-10K,$50-75K
LN-00079,BRW-0064,2024-11-18,Wedding,15400.0,36,9.58,493.88,36.0,Current,0,0,2024,11,Non-Default,False,62,MD,Associate,Self-Employed,7,43333,837,Rent,2,807,750+,35-50%,5-9 years,$10-20K,$30-50K
LN-00080,BRW-0065,2024-06-28,Education,47600.0,24,13.53,2274.86,86.4,Default,39,1,2024,6,Default,False,49,TN,Bachelor,Full-Time,27,81913,546,Mortgage,0,3620,520-599,75%+,10+ years,$30-50K,$75-100K
LN-00081,BRW-0065,2025-05-27,Business Loan,23300.0,12,14.9,2101.92,83.8,Default,117,1,2025,5,Default,False,49,TN,Bachelor,Full-Time,27,81913,546,Mortgage,0,3620,520-599,75%+,10+ years,$20-30K,$75-100K
LN-00082,BRW-0066,2025-06-12,Moving,16300.0,12,13.69,1461.15,76.9,Paid Off,0,0,2025,6,Non-Default,False,62,NC,Master,Full-Time,33,67726,625,Rent,2,2877,600-649,75%+,10+ years,$10-20K,$50-75K
LN-00083,BRW-0066,2024-02-15,Vacation,43500.0,12,9.6,3816.25,118.6,Current,0,0,2024,2,Non-Default,True,62,NC,Master,Full-Time,33,67726,625,Rent,2,2877,600-649,75%+,10+ years,$30-50K,$50-75K
LN-00084,BRW-0067,2024-11-15,Debt Consolidation,25900.0,36,8.45,817.0,40.0,Current,0,0,2024,11,Non-Default,False,52,NY,Bachelor,Contract,15,78399,700,Rent,0,1799,700-749,35-50%,10+ years,$20-30K,$75-100K
LN-00085,BRW-0068,2024-06-10,Moving,19800.0,12,8.23,1724.48,51.2,Late,0,0,2024,6,Late,False,51,OH,Bachelor,Self-Employed,20,62062,788,Own,1,926,750+,50-75%,10+ years,$10-20K,$50-75K
LN-00086,BRW-0069,2024-10-17,Business Loan,28400.0,36,11.71,939.36,39.7,Current,0,0,2024,10,Non-Default,False,39,NY,Master,Self-Employed,16,78303,540,Rent,0,1652,520-599,35-50%,10+ years,$20-30K,$75-100K
LN-00087,BRW-0070,2024-02-21,Moving,8200.0,48,11.25,212.93,27.5,Current,0,0,2024,2,Non-Default,False,57,NY,Master,Self-Employed,28,110018,796,Rent,0,2312,750+,20-35%,10+ years,$0-10K,$100K+
LN-00088,BRW-0070,2024-11-15,Medical Expenses,44800.0,48,9.81,1132.16,37.6,Paid Off,0,0,2024,11,Non-Default,False,57,NY,Master,Self-Employed,28,110018,796,Rent,0,2312,750+,35-50%,10+ years,$30-50K,$100K+
LN-00089,BRW-0071,2024-04-05,Home Improvement,31800.0,48,9.57,799.98,56.6,Late,15,0,2024,4,Late,False,37,AL,Associate,Part-Time,11,28195,796,Mortgage,2,530,750+,50-75%,10+ years,$30-50K,<$30K
LN-00090,BRW-0071,2024-08-17,Vacation,12900.0,48,9.09,321.57,36.2,Late,15,0,2024,8,Late,False,37,AL,Associate,Part-Time,11,28195,796,Mortgage,2,530,750+,35-50%,10+ years,$10-20K,<$30K
LN-00091,BRW-0072,2024-01-31,Medical Expenses,27200.0,36,11.88,901.87,70.4,Default,58,1,2024,1,Default,False,51,MO,Associate,Full-Time,20,34974,623,Own,4,1151,600-649,50-75%,10+ years,$20-30K,$30-50K
LN-00092,BRW-0073,2024-05-10,Vacation,15500.0,36,9.64,497.53,29.3,Paid Off,0,0,2024,5,Non-Default,False,34,FL,Associate,Full-Time,9,62875,803,Mortgage,3,1038,750+,20-35%,5-9 years,$10-20K,$50-75K
LN-00093,BRW-0074,2025-02-27,Moving,35700.0,60,11.14,778.7,74.9,Default,92,1,2025,2,Default,False,45,MO,High School,Full-Time,1,41201,670,Rent,0,1792,650-699,50-75%,<2 years,$30-50K,$30-50K
LN-00094,BRW-0075,2025-03-21,Vacation,18400.0,60,8.11,374.06,56.7,Late,0,0,2025,3,Late,False,62,MA,Master,Full-Time,18,129479,843,Mortgage,1,5748,750+,50-75%,10+ years,$10-20K,$100K+
LN-00095,BRW-0076,2025-04-19,Home Improvement,36200.0,48,7.99,883.58,21.1,Current,0,0,2025,4,Non-Default,False,38,CO,Master,Full-Time,15,125137,755,Own,2,1312,750+,20-35%,10+ years,$30-50K,$100K+
LN-00096,BRW-0077,2025-01-23,Major Purchase,4900.0,60,10.19,104.57,45.4,Current,0,0,2025,1,Non-Default,False,58,KY,Master,Full-Time,26,75894,820,Mortgage,2,2769,750+,35-50%,10+ years,$0-10K,$75-100K
LN-00097,BRW-0078,2024-06-01,Medical Expenses,45400.0,12,11.14,4015.49,92.5,Late,0,0,2024,6,Late,False,46,TX,Bachelor,Full-Time,9,95478,759,Mortgage,2,3342,750+,75%+,5-9 years,$30-50K,$75-100K
LN-00098,BRW-0079,2024-11-07,Business Loan,17200.0,60,13.11,392.32,37.8,Late,15,0,2024,11,Late,False,35,PA,Bachelor,Full-Time,5,45779,652,Mortgage,0,1050,650-699,35-50%,5-9 years,$10-20K,$30-50K
LN-00099,BRW-0080,2024-05-10,Home Improvement,31400.0,60,10.79,679.43,58.2,Paid Off,0,0,2024,5,Non-Default,False,60,GA,Bachelor,Full-Time,29,58981,674,Own,3,2181,650-699,50-75%,10+ years,$30-50K,$50-75K
LN-00100,BRW-0080,2024-10-15,Debt Consolidation,10800.0,36,9.32,345.05,51.4,Paid Off,0,0,2024,10,Non-Default,False,60,GA,Bachelor,Full-Time,29,58981,674,Own,3,2181,650-699,50-75%,10+ years,$10-20K,$50-75K
LN-00101,BRW-0081,2024-06-26,Education,21500.0,48,12.93,576.04,59.3,Default,78,1,2024,6,Default,False,62,IL,Bachelor,Contract,34,53220,588,Own,3,2054,520-599,50-75%,10+ years,$20-30K,$50-75K
LN-00102,BRW-0082,2024-03-14,Education,9400.0,24,6.99,420.82,51.6,Paid Off,0,0,2024,3,Non-Default,False,26,MA,High School,Self-Employed,2,43345,821,Mortgage,2,1444,750+,50-75%,2-4 years,$0-10K,$30-50K
LN-00103,BRW-0083,2025-03-11,Medical Expenses,12500.0,48,15.13,348.71,18.7,Current,0,0,2025,3,Non-Default,False,39,WI,Bachelor,Full-Time,13,45732,550,Rent,0,364,520-599,0-20%,10+ years,$10-20K,$30-50K
LN-00104,BRW-0084,2025-05-25,Major Purchase,10900.0,60,8.84,225.42,41.2,Current,0,0,2025,5,Non-Default,False,65,PA,Master,Part-Time,2,74897,672,Rent,1,2345,650-699,35-50%,2-4 years,$10-20K,$50-75K
LN-00105,BRW-0084,2025-05-09,Major Purchase,29700.0,12,13.69,2662.35,80.2,Current,0,0,2025,5,Non-Default,False,65,PA,Master,Part-Time,2,74897,672,Rent,1,2345,650-699,75%+,2-4 years,$20-30K,$50-75K
LN-00106,BRW-0085,2024-03-21,Medical Expenses,16200.0,36,9.39,518.1,63.7,Current,0,0,2024,3,Non-Default,False,39,AZ,High School,Part-Time,2,24609,776,Mortgage,1,789,750+,50-75%,2-4 years,$10-20K,<$30K
LN-00107,BRW-0086,2024-02-24,Home Improvement,26700.0,60,9.31,558.27,33.3,Current,0,0,2024,2,Non-Default,False,32,MA,Associate,Self-Employed,12,42715,735,Mortgage,0,627,700-749,20-35%,10+ years,$20-30K,$30-50K
LN-00108,BRW-0087,2024-10-28,Vacation,17900.0,36,15.64,626.13,29.3,Default,39,1,2024,10,Default,False,29,TX,Doctorate,Full-Time,8,120275,550,Mortgage,0,2314,520-599,20-35%,5-9 years,$10-20K,$100K+
LN-00109,BRW-0088,2025-04-29,Wedding,36900.0,60,7.79,744.5,45.9,Late,0,0,2025,4,Late,False,53,MA,Bachelor,Self-Employed,8,53587,811,Rent,3,1305,750+,35-50%,5-9 years,$30-50K,$50-75K
LN-00110,BRW-0089,2024-10-11,Wedding,9100.0,24,12.34,429.81,26.5,Default,101,1,2024,10,Default,False,23,MO,Doctorate,Part-Time,2,50328,611,Mortgage,1,680,600-649,20-35%,2-4 years,$0-10K,$50-75K
LN-00111,BRW-0090,2024-06-03,Auto Loan,5100.0,24,11.3,238.41,32.2,Current,0,0,2024,6,Non-Default,False,29,NC,Bachelor,Full-Time,4,93690,795,Mortgage,1,2273,750+,20-35%,2-4 years,$0-10K,$75-100K
LN-00112,BRW-0091,2024-03-27,Business Loan,18700.0,12,7.86,1625.47,94.1,Paid Off,0,0,2024,3,Non-Default,False,52,IL,Associate,Part-Time,32,25916,831,Rent,3,406,750+,75%+,10+ years,$10-20K,<$30K
